"city","region","bloom_url","bloom_id","bloom_img","group","web_url"
"St Paul","metro","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnmJm3","gqBxp6apnJSnmJm3","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmJm3qJ1lppisnJemoZU=.jpg",1,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmJm3qJ1lppetmJmmmZ0=.jpg"
"Boundary Waters","haze",NA,NA,"images/boundary_waters.png",1,"http://www.fsvisimages.com/images/photos-main/bowa1_main.jpg"
"Big Lake","central","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnnKir","gqBxp6apnJSnnKir","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnnKirqJ1lppismJmtnJw=.jpg",1,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnnKirqJ1lppetmJmlnJs=.jpg"
"Chisago City","central","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnmpW1","gqBxp6apnJSnmpW1","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmpW1qJ1lppisnJemoZU=.jpg",1,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmpW1qJ1lppetmJmkm5U=.jpg"
"Coon Rapids","central","http://map.bloomsky.com/weather-stations/eaB1rJytnpS5maa0","eaB1rJytnpS5maa0","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS5maa0qJ1lppisnJenmpg=.jpg",2,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS5maa0qJ1lppetmJmkn54=.jpg"
"Crosslake","central","http://map.bloomsky.com/weather-stations/faBiuZWsmKKkqqap","faBiuZWsmKKkqqap","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKkqqapqJ1lppisnJKtoJo=.jpg",2,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKkqqapqJ1lppetmJmlnp4=.jpg"
"Eau Claire (WI)","central","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnrqu4","gqBxp6apnJSnrqu4","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrqu4qJ1lppisnJatnZo=.jpg",2,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrqu4qJ1lppetmJKom5o=.jpg"
"Mille Lacs","central","http://map.bloomsky.com/weather-stations/eaB1rJytnZSmnJei","eaB1rJytnZSmnJei","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnJeiqJ1lppisnJemoZ4=.jpg",2,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnJeiqJ1lppetmJmmmJY=.jpg"
"Chanhassen","metro","http://map.bloomsky.com/weather-stations/faBiuZWsmKKkoKun","faBiuZWsmKKkoKun","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKkoKunqJ1lppisnJemm5U=.jpg",3,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKkoKunqJ1lppetmJmkmp0=.jpg"
"Hastings","metro","http://map.bloomsky.com/weather-stations/eaB1rJytnpS4qp6n","eaB1rJytnpS4qp6n","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS4qp6nqJ1lppismJiroZc=.jpg",3,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS4qp6nqJ1lppesnZWtoJY=.jpg"
"Lakeville","metro","http://map.bloomsky.com/weather-stations/eaB1rJytnZSmmaip","eaB1rJytnZSmmaip","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmmaipqJ1lppisnJeomJU=.jpg",3,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmmaipqJ1lppetmJmloZ0=.jpg"
"Minneapolis","metro","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnq560","gqBxp6apnJSnq560","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnq560qJ1lppisnJatm5Y=.jpg",3,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnq560qJ1lppetmJirnZY=.jpg"
"Plymouth","metro","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnqp6o","gqBxp6apnJSnqp6o","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnqp6oqJ1lppisnJemmJY=.jpg",4,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnqp6oqJ1lppetmJmkmJY=.jpg"
"Savage","metro","http://map.bloomsky.com/weather-stations/jpxnrKmnqZKlrJin","jpxnrKmnqZKlrJin","https://s3-us-west-1.amazonaws.com/bskyimgs/jpxnrKmnqZKlrJinqJ1lppisnJelnJ0=.jpg",4,"https://s3-us-west-1.amazonaws.com/bskyimgs/jpxnrKmnqZKlrJinqJ1lppetmJmmmpU=.jpg"
"Shorewood","metro","http://map.bloomsky.com/weather-stations/gqBxp6apnJSmrZqp","gqBxp6apnJSmrZqp","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSmrZqpqJ1lppisnJatmp4=.jpg",4,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSmrZqpqJ1lppetmJmkm54=.jpg"
"St Paul","metro","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnmJm3","gqBxp6apnJSnmJm3","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmJm3qJ1lppisnJemoZU=.jpg",4,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmJm3qJ1lppetmJmmmZ0=.jpg"
"Boundary Waters","haze",NA,NA,"images/boundary_waters.png",5,"http://www.fsvisimages.com/images/photos-main/bowa1_main.jpg"
"Duluth","northeast","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnrpqk","gqBxp6apnJSnrpqk","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrpqkqJ1lppisnJaqmJY=.jpg",5,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrpqkqJ1lppetmJmnmJw=.jpg"
"Grand Marais","northeast","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnnZW3","gqBxp6apnJSnnZW3","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnnZW3qJ1lppisnJeompw=.jpg",5,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnnZW3qJ1lppetmJmknpk=.jpg"
"Fargo-Moorhead","northwest","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnrpaz","gqBxp6apnJSnrpaz","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrpazqJ1lppisnJelmpw=.jpg",5,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnrpazqJ1lppetmJmmnJ0=.jpg"
"Grand Forks (ND)","northwest","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnmpil","gqBxp6apnJSnmpil","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmpilqJ1lppisnJatn5w=.jpg",6,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnmpilqJ1lppetmJmpoJs=.jpg"
"Winnipeg (CA)","northwest","http://map.bloomsky.com/weather-stations/eaB1rJytnZSmnKi0","eaB1rJytnZSmnKi0","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnKi0qJ1lppisnJekn5s=.jpg",6,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnKi0qJ1lppetmJmmm5s=.jpg"
"Marion","south","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnoaq0","gqBxp6apnJSnoaq0","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnoaq0qJ1lppisnJemnpw=.jpg",6,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnoaq0qJ1lppetmJmmnZs=.jpg"
"Northfield","south","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnm6i1","gqBxp6apnJSnm6i1","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnm6i1qJ1lppisnJekoZo=.jpg",6,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnm6i1qJ1lppetmJmmn5Y=.jpg"
"Preston","south","http://map.bloomsky.com/weather-stations/faBiuZWsnpW6nZij","faBiuZWsnpW6nZij","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsnpW6nZijqJ1lppisnJepnZ0=.jpg",7,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsnpW6nZijqJ1lppetmJmlmZo=.jpg"
"Rochester","south","http://map.bloomsky.com/weather-stations/faBiuZWsnpW6n564","faBiuZWsnpW6n564","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsnpW6n564qJ1lppisnJenmJs=.jpg",7,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsnpW6n564qJ1lppetmJmloZU=.jpg"
"Waseca","south","http://map.bloomsky.com/weather-stations/faBiuZWsmKKlmpi4","faBiuZWsmKKlmpi4","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKlmpi4qJ1lppesmJiqnJY=.jpg",7,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKlmpi4qJ1lppesmJiqnJY=.jpg"
"Bancroft (IA)","west","http://map.bloomsky.com/weather-stations/faBiuZWsmKKlmqml","faBiuZWsmKKlmqml","https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKlmqmlqJ1lppisnJepnZY=.jpg",7,"https://s3-us-west-1.amazonaws.com/bskyimgs/faBiuZWsmKKlmqmlqJ1lppetmJeomJo=.jpg"
"Redwood Falls","west","http://map.bloomsky.com/weather-stations/gqBxp6apnJSnraio","gqBxp6apnJSnraio","https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnraioqJ1lppisnJeompk=.jpg",8,"https://s3-us-west-1.amazonaws.com/bskyimgs/gqBxp6apnJSnraioqJ1lppetmJmmmZs=.jpg"
"Sioux City (IA)","west","http://map.bloomsky.com/weather-stations/eaB1rJytnpS4qpa0","eaB1rJytnpS4qpa0","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS4qpa0qJ1lppisnJepmZs=.jpg",8,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnpS4qpa0qJ1lppetmJmlnJs=.jpg"
"Truman","west","http://map.bloomsky.com/weather-stations/eaB1rJytnZSmnJur","eaB1rJytnZSmnJur","https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnJurqJ1lppisnJelnZk=.jpg",8,"https://s3-us-west-1.amazonaws.com/bskyimgs/eaB1rJytnZSmnJurqJ1lppetmJmmoZ4=.jpg"
"Grand Portage","haze",NA,NA,"images/grand_portage.png",8,"https://www.mwhazecam.net/CreateMain.aspx?t=main&p=images/photos-main/GRAND.jpg"
